J_over_U,delta,tau,spread_ind,pct_endpointF,pcttot_endpointF,sp_endpointF,sptot_endpointF,pct_coh,pcttot_coh,sp_coh,sptot_coh,pct_cur,pcttot_cur,sp_cur,sptot_cur,pct_occ,pcttot_occ,sp_occ,sptot_occ
0.4,0.5,1,0.006814100105969289,20.0,90.0,-0.22424242424242422,0.9151515151515152,20.0,90.0,-0.2446586144725246,0.9052368735483408,50.0,10.0,0.13939393939393938,-0.8303030303030302,20.0,90.0,-0.21884599572482327,0.9240164263936983
0.4,-0.2,1,0.0027027415559186807,80.0,100.0,-0.006060606060606061,0.960490759014502,80.0,100.0,-0.012232930723626228,0.9570732259820034,60.0,10.0,0.09090909090909088,-0.9240164263936982,80.0,100.0,-0.012158110873601292,0.9634146341463414
0.4,0.1,2,0.004631869207345362,20.0,90.0,-0.11585581233062979,0.9151515151515152,20.0,90.0,-0.12307750569371365,0.9052368735483408,50.0,10.0,0.07926976633148354,-0.8303030303030302,20.0,90.0,-0.11620849446252263,0.9240164263936983
0.4,0.2,2,0.0094039265630537,20.0,90.0,-0.1515151515151515,0.9151515151515152,20.0,90.0,-0.15902809940714097,0.9052368735483408,50.0,10.0,0.11515151515151514,-0.8303030303030302,20.0,90.0,-0.14589733048321551,0.9240164263936983
0.4,0.5,2,0.023953455954617273,10.0,70.0,-0.11515151515151514,0.7696969696969697,10.0,70.0,-0.1223293072362623,0.7584417048648262,50.0,10.0,0.07878787878787878,-0.7333333333333332,10.0,70.0,-0.12158110873601292,0.7781190959104827
0.4,-0.2,2,0.008609582580548163,100.0,100.0,0.16363636363636364,0.8181818181818182,100.0,100.0,0.17126103013076718,0.8196063584829573,60.0,10.0,-0.12727272727272726,-0.7333333333333332,100.0,100.0,0.1580554413568168,0.8145934285312865
0.4,0.1,3,0.008387120639299797,10.0,90.0,-0.05454545454545454,0.9151515151515152,10.0,90.0,-0.06116465361813115,0.9052368735483408,30.0,10.0,0.01818181818181818,-0.8303030303030302,10.0,90.0,-0.06079055436800646,0.9240164263936983
0.4,0.2,3,0.01681616358913685,10.0,70.0,-0.10303030303030303,0.7696969696969697,10.0,70.0,-0.08563051506538359,0.7584417048648262,30.0,10.0,0.06666666666666665,-0.7333333333333332,10.0,70.0,-0.10942299786241164,0.7781190959104827
0.4,0.5,3,0.04007888606751551,10.0,50.0,-0.05454545454545454,0.4787878787878787,10.0,50.0,-0.06116465361813115,0.4648513674977967,30.0,10.0,0.01818181818181818,-0.4424242424242424,10.0,50.0,-0.06079055436800646,0.4863244349440517
0.4,-0.2,3,0.015644028046750923,90.0,100.0,0.09090909090909088,0.8060606060606059,90.0,100.0,0.09786344578900982,0.7951404970357048,80.0,10.0,-0.05454545454545454,-0.7212121212121211,90.0,100.0,0.08510677611520905,0.8145934285312865
