tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength,realization
3,0.3,0.5,0.0328671866936587,0.450743215724494,0.2870589124728667,0.5012761656689584,86.66666666666667,40.0,86.66666666666667,1,0.8285714285714287,-0.2468734029157108,disorder,rand,0.5,4
1,0.4,0.5,0.0270655256150955,0.1278622069479844,0.1048483861080069,0.4999999999999995,60.0,33.33333333333333,60.0,1,0.5428571428571429,,disorder,rand,0.5,4
2,0.4,0.5,0.0270655256150955,0.3353726067282434,0.2613401563320245,0.4999999999999998,73.33333333333333,40.0,73.33333333333333,1,0.942857142857143,,disorder,rand,0.5,4
3,0.4,0.5,0.0270655256150955,0.45858149128475,0.335678027523313,0.4999999999999996,93.33333333333331,66.66666666666666,100.0,0,0.8857142857142858,-0.2469000256808248,disorder,rand,0.5,4
1,0.12,0.5,-0.0051205920841376,0.0250249030751561,0.0186802197442499,0.4467131119980992,66.66666666666666,33.33333333333333,100.0,0,0.8285714285714287,,disorder,rand,0.5,5
2,0.12,0.5,-0.0051205920841376,0.0831771338472239,0.0705845420677408,0.5000000000000002,60.0,40.0,100.0,0,0.8285714285714287,,disorder,rand,0.5,5
3,0.12,0.5,-0.0051205920841376,0.1403417051116136,0.1356833975485344,0.4999999999999991,60.0,53.333333333333336,100.0,0,0.8285714285714287,-0.1988228325084355,disorder,rand,0.5,5
1,0.2,0.5,-0.0058734321047211,0.0596597795884664,0.054083419074153,0.4999999999999995,53.333333333333336,40.0,100.0,0,0.8285714285714287,,disorder,rand,0.5,5
2,0.2,0.5,-0.0058734321047211,0.1864525086656051,0.1719927475704751,0.4999999999999997,66.66666666666666,40.0,100.0,0,0.8285714285714287,,disorder,rand,0.5,5
3,0.2,0.5,-0.0058734321047211,0.2928435005455836,0.2962445142976432,0.4999999999999997,60.0,66.66666666666666,100.0,0,0.8285714285714287,-0.3556345093831964,disorder,rand,0.5,5
1,0.3,0.5,0.0156941047782058,0.1901575453827645,0.0971314852401857,0.5000000000000001,100.0,46.666666666666664,100.0,1,0.942857142857143,,disorder,rand,0.5,5
2,0.3,0.5,0.0156941047782058,0.4600353852913625,0.2716738102205069,0.5000000000000001,100.0,66.66666666666666,100.0,1,0.942857142857143,,disorder,rand,0.5,5
3,0.3,0.5,0.0156941047782058,0.5517672806014977,0.411202007805595,0.5000000000000002,93.33333333333331,80.0,93.33333333333331,1,0.942857142857143,-0.3624605934892541,disorder,rand,0.5,5
1,0.4,0.5,0.02963686317725,0.2416944245169715,0.1357222878841541,0.5,100.0,60.0,100.0,1,0.8857142857142858,,disorder,rand,0.5,5
2,0.4,0.5,0.02963686317725,0.4667787493676045,0.3395576557237612,0.5000000000000002,100.0,73.33333333333333,100.0,1,0.942857142857143,,disorder,rand,0.5,5
3,0.4,0.5,0.02963686317725,0.4452124693822605,0.4525468856297524,0.4999999999999999,86.66666666666667,93.33333333333331,86.66666666666667,1,1.0,-0.2497754391218627,disorder,rand,0.5,5
1,0.12,1.0,0.0008693865335914,0.0277567810068977,0.0277567810068977,0.6396848162940961,40.0,40.0,100.0,0,0.3142857142857143,,disorder,rand,0.5,6
2,0.12,1.0,0.0008693865335914,0.0910639304398872,0.0910639304398872,0.5871191884276014,40.0,40.0,100.0,0,0.3142857142857143,,disorder,rand,0.5,6
3,0.12,1.0,0.0008693865335914,0.1620808781608189,0.1620808781608189,0.5674753753484416,33.33333333333333,33.33333333333333,100.0,0,0.3142857142857143,-0.1634570497138537,disorder,rand,0.5,6
