tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U,D_S,C_S_burn
3,"(4, 5)","(2, 3)","(2, 4)",0.0,0.5,66.66666666666666,86.66666666666667,100.0,0.0074707350930913,-0.0167163001547954,0.0712247007767552,-0.0584329996409206,0.6793238014533928,0.0285714285714285,0.6,disorder,rand,1.0,2,0.2,0.0584329996409206,0.013144525136596858
1,"(2, 4)","(2, 3)","(2, 4)",0.5,1.0,100.0,80.0,100.0,0.0061261754492714,-0.016023808244247,0.0061261754492714,-0.0266810069036651,0.6097863906275117,0.4285714285714286,0.4857142857142857,disorder,rand,1.0,2,0.3,0.0266810069036651,0.031196575487641008
2,"(2, 4)","(2, 3)","(2, 4)",0.5,1.0,100.0,80.0,100.0,0.0458633893805082,-0.0410910225564142,0.0458633893805082,-0.0619959968123078,0.5797453931936739,0.2571428571428572,0.5428571428571429,disorder,rand,1.0,2,0.3,0.0619959968123078,0.031196575487641008
3,"(2, 4)","(2, 3)","(2, 4)",0.5,1.0,100.0,80.0,100.0,0.1298438872641494,-0.0215713227508879,0.1298438872641494,-0.1227186069487136,0.5025630275644455,0.1428571428571428,0.5428571428571429,disorder,rand,1.0,2,0.3,0.1227186069487136,0.031196575487641008
1,"(2, 4)","(2, 3)","(2, 4)",0.5,1.0,100.0,66.66666666666666,100.0,0.0066329352867156,-0.0246035093991792,0.0066329352867156,-0.0341248873488185,0.648513670153651,0.4285714285714286,0.4857142857142857,disorder,rand,1.0,2,0.4,0.0341248873488185,0.03497756154096013
2,"(2, 4)","(2, 3)","(2, 4)",0.5,1.0,93.33333333333331,66.66666666666666,93.33333333333331,0.0678548752411878,-0.0437130293460236,0.0678548752411878,-0.0850144872050876,0.5914350127651036,0.4285714285714286,0.4857142857142857,disorder,rand,1.0,2,0.4,0.0850144872050876,0.03497756154096013
3,"(2, 4)","(2, 3)","(2, 4)",0.5,1.0,100.0,60.0,100.0,0.2075783499935057,0.0026518532319153,0.2075783499935057,-0.1672032971994921,0.506906420451989,0.6,0.4857142857142857,disorder,rand,1.0,2,0.4,0.1672032971994921,0.03497756154096013
1,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,60.0,33.33333333333333,-0.0031039401024901,-0.0007854790135598,0.0038197849654275,-0.0214552198280055,0.5514139342953596,0.3714285714285715,-0.4285714285714286,disorder,rand,1.0,3,0.12,0.0214552198280055,0.021827317801687382
2,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,60.0,33.33333333333333,-0.0022393318578706,-0.0035151438094022,0.0168992271494003,-0.045545637883103,0.5402442691581543,-0.7142857142857143,-0.0857142857142857,disorder,rand,1.0,3,0.12,0.045545637883103,0.021827317801687382
3,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,80.0,93.33333333333331,0.0168790779493599,-0.0064558161360039,0.050504502521248,-0.0740611024163504,0.5345389022465025,-0.7714285714285715,-0.0285714285714285,disorder,rand,1.0,3,0.12,0.0740611024163504,0.021827317801687382
1,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,60.0,33.33333333333333,-0.0051090428398981,-0.0031814782507164,0.0062664700577036,-0.0338288617919531,0.552167577386776,-0.2571428571428572,-0.0857142857142857,disorder,rand,1.0,3,0.2,0.0338288617919531,0.03658258386162662
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,80.0,93.33333333333331,0.0005431996596849,-0.0149241167551275,0.0334436747306265,-0.0705983089537226,0.5342227860962607,-0.8285714285714287,0.2571428571428572,disorder,rand,1.0,3,0.2,0.0705983089537226,0.03658258386162662
3,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,86.66666666666667,93.33333333333331,0.0485165231616135,-0.0206002076053327,0.1069340823142395,-0.1146421417377181,0.5207777964354231,-0.8285714285714287,0.3714285714285715,disorder,rand,1.0,3,0.2,0.1146421417377181,0.03658258386162662
1,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,86.66666666666667,33.33333333333333,-0.0048091130048866,-0.0080762845055815,0.0076147297242279,-0.0329146495428247,0.5070136158754917,-0.7714285714285715,0.4285714285714286,disorder,rand,1.0,3,0.3,0.0329146495428247,0.035440794175241
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,86.66666666666667,93.33333333333331,0.0131056290384867,-0.0233357735889017,0.066637244733495,-0.0774081240810251,0.500000000000002,-0.8857142857142858,0.6,disorder,rand,1.0,3,0.3,0.0774081240810251,0.035440794175241
3,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,80.0,93.33333333333331,0.1022346153504871,-0.0086424647065413,0.191364593159613,-0.1351891714626469,0.5000000000000003,-0.7142857142857143,0.6,disorder,rand,1.0,3,0.3,0.1351891714626469,0.035440794175241
1,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,93.33333333333331,80.0,-0.0055173585244183,-0.0137546937995228,0.0100627258067431,-0.0331608810700072,0.4999999999999995,-0.8857142857142858,0.6,disorder,rand,1.0,3,0.4,0.0331608810700072,0.029773780368571277
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,86.66666666666667,93.33333333333331,0.0270512975083514,-0.0274561421882268,0.0856316051719696,-0.0902725775827387,0.5000000000000024,-0.8857142857142858,0.6,disorder,rand,1.0,3,0.4,0.0902725775827387,0.029773780368571277
3,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,66.66666666666666,86.66666666666667,0.1409483751422469,0.0084168698763187,0.2200847033274888,-0.1622222294767897,0.4999999999999994,-0.2571428571428572,0.6,disorder,rand,1.0,3,0.4,0.1622222294767897,0.029773780368571277
1,"(4, 5)","(2, 3)","(2, 4)",0.0,0.5,73.33333333333333,53.333333333333336,33.33333333333333,2.3148210072931885e-05,-0.0004209506440995,0.0037103620851061,-0.0010076994154728,0.3181180234255872,0.4857142857142857,0.0857142857142857,disorder,rand,1.0,4,0.12,0.0010076994154728,0.001006343766919559
2,"(4, 5)","(2, 3)","(1, 4)",0.0,0.5,73.33333333333333,53.333333333333336,46.666666666666664,0.0010249519200361,-0.0030194437172743,0.016689234012443,-0.0025015705288091,0.3258471269387773,-1.0,0.6,disorder,rand,1.0,4,0.12,0.0025015705288091,0.001006343766919559
3,"(4, 5)","(2, 3)","(1, 2)",0.0,0.0,73.33333333333333,53.333333333333336,66.66666666666666,0.0038595409766736,-0.0062063468377197,0.0401848272205485,-0.0047917543528048,0.3272617993516382,-0.7714285714285715,0.4857142857142857,disorder,rand,1.0,4,0.12,0.0047917543528048,0.001006343766919559
1,"(1, 5)","(2, 3)","(2, 4)",0.0,0.0,93.33333333333331,60.0,53.333333333333336,-0.0008651038506579,-0.0027499020326986,0.0056137281410839,-0.0266770565517626,0.6233405425465436,-0.4857142857142857,0.0857142857142857,disorder,rand,1.0,4,0.2,0.0266770565517626,0.026247123351703674
2,"(1, 5)","(2, 3)","(1, 2)",0.0,0.5,93.33333333333331,60.0,86.66666666666667,0.0117518127490423,-0.0110199669449813,0.0369565551234307,-0.0624089466180134,0.6038231129815356,-0.6,0.5428571428571429,disorder,rand,1.0,4,0.2,0.0624089466180134,0.026247123351703674
3,"(1, 5)","(2, 3)","(1, 2)",0.0,0.5,100.0,53.333333333333336,86.66666666666667,0.0440050588378948,-0.0126757666846996,0.0924848217299323,-0.1073401171202108,0.5905144024678923,-0.2571428571428572,0.5428571428571429,disorder,rand,1.0,4,0.2,0.1073401171202108,0.026247123351703674
