tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U,D_S,C_S_burn
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,46.666666666666664,0.0412542131199289,0.0190984536730248,0.0637756565934011,-0.0478958780841495,0.4999999999999943,0.6,0.1428571428571428,tilt,step,1.0,0.2,0.0478958780841495,0.0013000061393922996
1,"(4, 5)","(2, 3)","(0, 3)",0.0,0.0,93.33333333333331,66.66666666666666,60.0,-0.0103983583667388,-8.757896150374256e-06,0.0099905216875332,-0.0177254583046631,0.4061158556613953,0.7142857142857143,-0.5428571428571429,tilt,step,1.0,0.3,0.0177254583046631,0.01499304016458631
2,"(4, 5)","(2, 3)","(3, 5)",0.0,0.5,93.33333333333331,66.66666666666666,46.666666666666664,-0.0066549785073499,0.0063252325694838,0.048634026148443,-0.0391775243087726,0.3875118693433096,0.4857142857142857,0.0285714285714285,tilt,step,1.0,0.3,0.0391775243087726,0.01499304016458631
3,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333331,66.66666666666666,100.0,0.0617142859486263,0.0362255860215952,0.1206434141433032,-0.0580662705704742,0.4015920051978768,0.6,0.6,tilt,step,1.0,0.3,0.0580662705704742,0.01499304016458631
1,"(4, 5)","(2, 3)","(0, 3)",0.0,0.0,93.33333333333331,66.66666666666666,60.0,-0.0133668099680017,-0.0040500522766571,0.0131764780419516,-0.0234114654631738,0.4262662331669248,0.5428571428571429,-0.3714285714285715,tilt,step,1.0,0.4,0.0234114654631738,0.030030226662177584
2,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333331,86.66666666666667,100.0,0.0158373645893084,0.0047930494953701,0.0666561864535586,-0.0466923349206231,0.5043067438170781,0.4857142857142857,0.3714285714285715,tilt,step,1.0,0.4,0.0466923349206231,0.030030226662177584
3,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,73.33333333333333,93.33333333333331,100.0,0.1234398642195944,0.0527704382527463,0.1955701082761551,-0.065879068314308,0.6201894270395746,0.8285714285714287,0.6,tilt,step,1.0,0.4,0.065879068314308,0.030030226662177584
1,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,60.0,6.36073688731198e-05,0.000173602998723,0.0013122594956926,-0.0012092987029762,0.5000000000000709,0.8857142857142858,-0.0285714285714285,tilt,step,2.0,0.12,0.0012092987029762,0.0005082305318807052
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333331,66.66666666666666,66.66666666666666,-0.0017191219426604,0.0014074048073296,0.0042764643642223,-0.0037314562659606,0.4999999999999476,0.942857142857143,-0.0285714285714285,tilt,step,2.0,0.12,0.0037314562659606,0.0005082305318807052
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333331,66.66666666666666,66.66666666666666,-0.0007655053323185,0.0050697618788162,0.0130446629556768,-0.0082544439300075,0.4413129952692539,0.942857142857143,-0.0285714285714285,tilt,step,2.0,0.12,0.0082544439300075,0.0005082305318807052
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,60.0,-0.0006168107180948,0.0004091049044795,0.0033383235487165,-0.0027344929382526,0.4999999999999458,0.8857142857142858,-0.1428571428571428,tilt,step,2.0,0.2,0.0027344929382526,-0.0012476428005934387
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333331,66.66666666666666,66.66666666666666,-0.0030225972171504,0.0050029707254277,0.0136048637172292,-0.0128982073369544,0.4712107510956795,0.942857142857143,-0.0285714285714285,tilt,step,2.0,0.2,0.0128982073369544,-0.0012476428005934387
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,66.66666666666666,0.0140301352776506,0.0141345540363416,0.0370934771254627,-0.0266939732512941,0.4419919436844646,0.8285714285714287,-0.0285714285714285,tilt,step,2.0,0.2,0.0266939732512941,-0.0012476428005934387
1,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333331,66.66666666666666,66.66666666666666,-0.0025702213816636,0.0022011477203218,0.0102275688602826,-0.0164494544339376,0.3700794638434833,0.8857142857142858,-0.0857142857142857,tilt,step,2.0,0.3,0.0164494544339376,0.007174563079064392
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,66.66666666666666,0.0084212331294053,0.0093555541337332,0.0276099564207077,-0.0413365716365436,0.4175184638187088,0.8285714285714287,-0.0857142857142857,tilt,step,2.0,0.3,0.0413365716365436,0.007174563079064392
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,100.0,66.66666666666666,100.0,0.0721030394022614,0.0229571498084099,0.0721030394022614,-0.0612419373566659,0.4549044448569676,0.8285714285714287,0.7142857142857143,tilt,step,2.0,0.3,0.0612419373566659,0.007174563079064392
1,"(4, 5)","(2, 3)","(3, 5)",0.0,0.5,93.33333333333331,66.66666666666666,66.66666666666666,-0.0115209162952756,0.0007430569229913,0.0120280304049402,-0.0158838711204176,0.2834149038263634,0.6571428571428573,-0.1428571428571428,tilt,step,2.0,0.4,0.0158838711204176,0.022188551767621502
2,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333331,66.66666666666666,100.0,0.0188624925104696,0.0072152137800281,0.0411919842328312,-0.0293181566221331,0.3298556063219717,0.6,0.6,tilt,step,2.0,0.4,0.0293181566221331,0.022188551767621502
3,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333331,86.66666666666667,100.0,0.1184989236771394,0.037072429466405,0.1384363549288991,-0.0366044976319208,0.3818966718954588,0.8285714285714287,0.7142857142857143,tilt,step,2.0,0.4,0.0366044976319208,0.022188551767621502
