tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,realization,J_over_U
1,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,73.33333333333333,40.0,40.0,-0.0012191144705289703,0.0011209164077910505,0.0023256566754248365,-0.004943478314835492,0.5691887208622356,0.6,-0.6,disorder,rand,0.5,3,0.12
2,"(4, 5)","(2, 3)","(1, 3)",0.0,0.0,73.33333333333333,20.0,46.666666666666664,-0.00490720161383934,-0.0033074032443608514,0.010491037204037185,-0.010789892684467062,0.5339739704216975,0.3714285714285715,-0.08571428571428573,disorder,rand,0.5,3,0.12
3,"(4, 5)","(2, 3)","(1, 3)",0.0,0.0,73.33333333333333,40.0,46.666666666666664,-0.010588159562167077,-0.019280853504754572,0.041656619613396825,-0.017764597239412927,0.5097401201873976,0.08571428571428573,0.08571428571428573,disorder,rand,0.5,3,0.12
1,"(1, 5)","(2, 3)","(1, 3)",0.0,0.5,93.33333333333333,20.0,26.666666666666668,-0.0028062450243815373,0.00031389361300898644,0.0024965318238673317,-0.02090850588803672,0.6528369576299036,-0.3142857142857143,-0.2,disorder,rand,0.5,3,0.2
2,"(1, 5)","(2, 3)","(1, 3)",0.0,0.5,93.33333333333333,20.0,33.33333333333333,0.003510072826521382,-0.016869885693986397,0.015369132564675703,-0.04697510159053364,0.6284559197483668,-0.08571428571428573,0.2571428571428572,disorder,rand,0.5,3,0.2
3,"(1, 5)","(2, 3)","(1, 3)",0.0,0.5,100.0,20.0,46.666666666666664,0.03985733405038161,-0.05622429323567352,0.05079117117704757,-0.08782526422387327,0.5712098779098093,-0.028571428571428574,0.3714285714285715,disorder,rand,0.5,3,0.2
1,"(0, 1)","(2, 3)","(0, 3)",0.0,0.5,93.33333333333333,13.333333333333334,46.666666666666664,-0.002725627611042114,-0.007658714916939369,-0.00045114460537287737,-0.017967163974024314,0.6908251072475474,-0.3142857142857143,0.028571428571428574,disorder,rand,0.5,3,0.3
2,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,100.0,13.333333333333334,100.0,0.009106991133961406,-0.049795563409672505,0.009106991133961406,-0.04470385561834389,0.6585646600172196,-0.7714285714285715,0.7714285714285715,disorder,rand,0.5,3,0.3
3,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,100.0,13.333333333333334,100.0,0.07009718428973355,-0.10258229422501486,0.07009718428973355,-0.08049584865636628,0.6335275423522883,-0.4285714285714286,0.942857142857143,disorder,rand,0.5,3,0.3
1,"(0, 1)","(2, 3)","(0, 5)",0.0,0.5,100.0,33.33333333333333,53.333333333333336,-0.004112090070670371,-0.018845887980349918,0.0005396925842904299,-0.019057531798984173,0.5000000000000037,-0.48571428571428577,0.6,disorder,rand,0.5,3,0.4
2,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,100.0,26.666666666666668,100.0,0.01675967642181142,-0.07330841400871535,0.01675967642181142,-0.04955406726947109,0.5000000000000011,-0.7714285714285715,0.8857142857142858,disorder,rand,0.5,3,0.4
3,"(0, 1)","(2, 3)","(0, 1)",0.0,1.0,100.0,26.666666666666668,100.0,0.10343740081725228,-0.10281180915869936,0.10343740081725228,-0.09305984836926484,0.49999999999999983,-0.14285714285714288,0.942857142857143,disorder,rand,0.5,3,0.4
1,"(3, 5)","(2, 3)","(0, 2)",0.5,0.0,33.33333333333333,26.666666666666668,46.666666666666664,-0.00024190494254228145,-0.00011863647347953865,0.0021898226362232487,0.005120077619523378,0.7654281166122645,0.3142857142857143,-0.48571428571428577,disorder,rand,0.5,4,0.12
2,"(3, 5)","(2, 3)","(0, 2)",0.5,0.0,26.666666666666668,33.33333333333333,46.666666666666664,-0.0017323537210373052,-0.0016061470211778395,0.013798666724777753,0.011916150169135054,0.7606596878357461,-0.3714285714285715,-0.2571428571428572,disorder,rand,0.5,4,0.12
3,"(3, 5)","(2, 3)","(0, 5)",0.5,0.5,26.666666666666668,33.33333333333333,53.333333333333336,-0.00048163794406197447,-0.001307930367765442,0.03713219099236553,0.01430036755796299,0.7418416148209753,-0.5428571428571429,-0.14285714285714288,disorder,rand,0.5,4,0.12
1,"(3, 4)","(2, 3)","(0, 5)",0.5,0.0,100.0,33.33333333333333,53.333333333333336,-0.007695318270264373,-0.0027959474379973814,0.004673015896541899,-0.028770626988332104,0.5722307845938659,0.4285714285714286,-0.3142857142857143,disorder,rand,0.5,4,0.2
2,"(3, 4)","(2, 3)","(0, 2)",0.5,0.0,100.0,40.0,46.666666666666664,-0.020369266814525555,-0.014055355247580836,0.02775822197167821,-0.0577471140500081,0.5524476133769999,-0.4285714285714286,-0.3714285714285715,disorder,rand,0.5,4,0.2
3,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,100.0,40.0,93.33333333333333,-0.011366533687013347,-0.018924638008049888,0.07705208027262822,-0.08822774935056887,0.5410644831358348,-0.7142857142857143,-0.08571428571428573,disorder,rand,0.5,4,0.2
1,"(3, 4)","(2, 3)","(0, 2)",0.5,0.0,100.0,60.0,26.666666666666668,-0.009541860386669265,-0.00943099700862482,0.005790825865390481,-0.02912620130703203,0.5261236536809524,-0.4285714285714286,0.028571428571428574,disorder,rand,0.5,4,0.3
2,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,100.0,53.333333333333336,93.33333333333333,-0.015534971495710925,-0.030772331340093717,0.048905195266644164,-0.06118496380452626,0.5173406198582652,-0.6571428571428573,0.2,disorder,rand,0.5,4,0.3
3,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,100.0,40.0,93.33333333333333,0.02956426987367533,-0.029542705333421848,0.14483086692705816,-0.09892671214214765,0.5131248148435552,-0.6,0.2571428571428572,disorder,rand,0.5,4,0.3
1,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,100.0,66.66666666666666,86.66666666666667,-0.011723469688835753,-0.017341056656434706,0.00782484937871697,-0.025953844704686868,0.5000000000000043,-0.4285714285714286,0.5428571428571429,disorder,rand,0.5,4,0.4
2,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,100.0,53.333333333333336,86.66666666666667,-0.004413419039452915,-0.03753180846603754,0.061556030781632076,-0.06446219080109927,0.5000000000000018,-0.6571428571428573,0.6,disorder,rand,0.5,4,0.4
3,"(3, 4)","(2, 3)","(0, 4)",0.5,0.5,100.0,40.0,93.33333333333333,0.07475933586425287,-0.012355088886100707,0.17939688621358973,-0.1113276910652673,0.5000000000000002,-0.14285714285714288,0.7714285714285715,disorder,rand,0.5,4,0.4
1,"(1, 2)","(2, 3)","(2, 5)",0.5,0.5,46.666666666666664,86.66666666666667,20.0,-0.0009218879459746421,0.000610793880310434,0.0012074985651276855,0.006614421845311552,0.4881699044530579,0.8285714285714287,-0.2571428571428572,disorder,rand,0.5,5,0.12
2,"(1, 2)","(2, 3)","(3, 5)",0.5,0.0,46.666666666666664,86.66666666666667,73.33333333333333,-0.005500751238012858,0.004311469228409082,0.011774360732024185,0.01547485977669158,0.49015683141763317,0.14285714285714288,0.028571428571428574,disorder,rand,0.5,5,0.12
3,"(1, 2)","(2, 3)","(1, 3)",0.5,0.5,60.0,86.66666666666667,100.0,-0.0062335198735610775,0.01591374462652201,0.053580519408114036,0.022790359400219923,0.46111861091498096,0.3142857142857143,0.3142857142857143,disorder,rand,0.5,5,0.12
