tau,J_over_U,overlap_fi_geo,C_S_burn,D_S,D_S_geo,off_sel_frac,pct_fi,pct_geo,pct_dopt,dopt_eq_fi,sp_Fi_drain,D_S_neg,setting,pattern,strength
3,0.4,0.0,0.030030226662177584,0.363063830777247,0.3473707782292126,0.49999999999999994,93.33333333333333,80.0,100.0,0,0.8285714285714287,-0.2933214320866744,tilt,step,1.0
1,0.12,0.5,0.0005082305318807052,0.023705450268275197,0.02162120532448547,0.5000000000000075,73.33333333333333,26.666666666666668,73.33333333333333,1,0.942857142857143,,tilt,step,2.0
2,0.12,0.5,0.0005082305318807052,0.0694629041070286,0.06469091507482243,0.5000000000000061,73.33333333333333,26.666666666666668,66.66666666666666,0,0.8857142857142858,,tilt,step,2.0
3,0.12,0.5,0.0005082305318807052,0.10975664868262314,0.10179018237494888,0.5000000000000033,73.33333333333333,26.666666666666668,66.66666666666666,0,0.7142857142857143,-0.10212174642872462,tilt,step,2.0
1,0.2,0.5,-0.0012476428005934387,0.05208874123473972,0.04732706029602594,0.4999999999999969,73.33333333333333,26.666666666666668,73.33333333333333,1,0.942857142857143,,tilt,step,2.0
2,0.2,0.5,-0.0012476428005934387,0.148189093187037,0.13260505435832295,0.5000000000000003,66.66666666666666,26.666666666666668,73.33333333333333,0,0.8857142857142858,,tilt,step,2.0
3,0.2,0.5,-0.0012476428005934387,0.21721052951760522,0.19569754503472686,0.5000000000000019,66.66666666666666,26.666666666666668,73.33333333333333,0,0.8857142857142858,-0.1972507674811328,tilt,step,2.0
1,0.3,0.5,0.007174563079064392,0.09410489496867336,0.0647026188739358,0.47461688156410625,66.66666666666666,26.666666666666668,66.66666666666666,1,1.0,,tilt,step,2.0
2,0.3,0.5,0.007174563079064392,0.22661317877419884,0.1782929053056057,0.4999999999999984,73.33333333333333,60.0,73.33333333333333,1,1.0,,tilt,step,2.0
3,0.3,0.5,0.007174563079064392,0.2919737800526714,0.25260870362047966,0.4999999999999995,73.33333333333333,46.666666666666664,73.33333333333333,1,1.0,-0.24544697530572335,tilt,step,2.0
1,0.4,0.0,0.022188551767621034,0.11671887360293032,0.08954188276707693,0.46591485432764984,66.66666666666666,46.666666666666664,73.33333333333333,0,0.942857142857143,,tilt,step,2.0
2,0.4,0.0,0.022188551767621034,0.25792226726504797,0.23332656166230814,0.500000000000001,66.66666666666666,60.0,73.33333333333333,0,0.942857142857143,,tilt,step,2.0
3,0.4,0.0,0.022188551767621034,0.2964946961046996,0.2989060539980298,0.5000000000000018,73.33333333333333,93.33333333333333,46.666666666666664,0,0.7714285714285715,-0.2929269526327113,tilt,step,2.0
