tau,S_fi,S_geo,S_sd,overlap_fi_geo,overlap_fi_sd,pct_fi,pct_geo,pct_sd,sd_fi,sd_geo,sd_opt,on_signed,off_frac,sp_Fi_total,sp_Fi_diag,setting,pattern,strength,J_over_U
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,100.0,86.66666666666667,100.0,0.10582236665038547,-0.007240534534257437,0.10582236665038547,-0.1519270972244965,0.49999999999999944,0.7142857142857143,0.7142857142857143,tilt,step,0.5,0.3
1,"(3, 4)","(2, 3)","(0, 1)",0.5,0.0,100.0,66.66666666666666,20.0,-0.013253824080442511,-0.0122802368392122,0.007235205195404298,-0.05294730268319858,0.5308248462590991,0.7714285714285715,-0.7714285714285715,tilt,step,0.5,0.4
2,"(3, 4)","(2, 3)","(0, 3)",0.5,0.5,100.0,86.66666666666667,80.0,0.03289968308275104,-0.02610134811691145,0.05027565223649888,-0.13392092173692283,0.5000000000000004,0.48571428571428577,0.2571428571428572,tilt,step,0.5,0.4
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,100.0,93.33333333333333,100.0,0.16496180537206917,0.01884251041882945,0.16496180537206917,-0.22124624136258098,0.49999999999999867,0.7142857142857143,0.7142857142857143,tilt,step,0.5,0.4
1,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333333,46.666666666666664,0.0006152307275275604,0.0001052806550212379,0.00185325509665768,-0.00214766886806661,0.4999999999997801,0.7142857142857143,0.14285714285714288,tilt,step,1.0,0.12
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,93.33333333333333,46.666666666666664,0.003916883581376318,0.001177537194165263,0.009738574983984005,-0.007448526679532885,0.4999999999999957,0.7142857142857143,0.14285714285714288,tilt,step,1.0,0.12
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,46.666666666666664,0.00896996160229202,0.0059200977943245185,0.022252660634677346,-0.014808445250791835,0.49999999999998507,0.7142857142857143,0.14285714285714288,tilt,step,1.0,0.12
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,73.33333333333333,0.00038103622476692856,-5.6900627161057815e-05,0.004616950837315328,-0.005173494219811947,0.57899270340541,0.7142857142857143,-0.14285714285714288,tilt,step,1.0,0.2
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,86.66666666666667,46.666666666666664,0.010286695243707511,0.003988882729796112,0.0258856600060009,-0.023321564582859833,0.5000000000000089,0.7142857142857143,0.14285714285714288,tilt,step,1.0,0.2
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,46.666666666666664,0.04125421311992894,0.019098453673024804,0.06377565659340112,-0.047895878084149524,0.4999999999999943,0.6,0.14285714285714288,tilt,step,1.0,0.2
1,"(4, 5)","(2, 3)","(0, 3)",0.0,0.0,93.33333333333333,66.66666666666666,60.0,-0.010398358366738858,-8.757896150374256e-06,0.009990521687533284,-0.0177254583046631,0.40611585566139535,0.7142857142857143,-0.5428571428571429,tilt,step,1.0,0.3
2,"(4, 5)","(2, 3)","(3, 5)",0.0,0.5,93.33333333333333,66.66666666666666,46.666666666666664,-0.006654978507349973,0.006325232569483821,0.04863402614844303,-0.03917752430877264,0.38751186934330967,0.48571428571428577,0.028571428571428574,tilt,step,1.0,0.3
3,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333333,66.66666666666666,100.0,0.06171428594862638,0.036225586021595285,0.12064341414330326,-0.0580662705704742,0.4015920051978768,0.6,0.6,tilt,step,1.0,0.3
1,"(4, 5)","(2, 3)","(0, 3)",0.0,0.0,93.33333333333333,66.66666666666666,60.0,-0.01336680996800177,-0.004050052276657196,0.013176478041951635,-0.023411465463173853,0.42626623316692486,0.5428571428571429,-0.3714285714285715,tilt,step,1.0,0.4
2,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333333,86.66666666666667,100.0,0.0158373645893084,0.004793049495370183,0.06665618645355864,-0.04669233492062319,0.5043067438170781,0.48571428571428577,0.3714285714285715,tilt,step,1.0,0.4
3,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,73.33333333333333,93.33333333333333,100.0,0.12343986421959441,0.052770438252746354,0.19557010827615517,-0.06587906831430801,0.6201894270395746,0.8285714285714287,0.6,tilt,step,1.0,0.4
1,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,60.0,6.36073688731198e-05,0.0001736029987230007,0.0013122594956926914,-0.001209298702976258,0.5000000000000709,0.8857142857142858,-0.028571428571428574,tilt,step,2.0,0.12
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333333,66.66666666666666,66.66666666666666,-0.0017191219426604398,0.001407404807329646,0.004276464364222354,-0.0037314562659606088,0.49999999999994765,0.942857142857143,-0.028571428571428574,tilt,step,2.0,0.12
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333333,66.66666666666666,66.66666666666666,-0.0007655053323185612,0.005069761878816279,0.013044662955676856,-0.008254443930007516,0.4413129952692539,0.942857142857143,-0.028571428571428574,tilt,step,2.0,0.12
1,"(3, 4)","(2, 3)","(1, 3)",0.5,0.5,100.0,86.66666666666667,60.0,-0.000616810718094829,0.00040910490447957325,0.0033383235487165937,-0.002734492938252675,0.4999999999999458,0.8857142857142858,-0.14285714285714288,tilt,step,2.0,0.2
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333333,66.66666666666666,66.66666666666666,-0.00302259721715048,0.005002970725427767,0.013604863717229243,-0.01289820733695446,0.4712107510956795,0.942857142857143,-0.028571428571428574,tilt,step,2.0,0.2
3,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,66.66666666666666,0.014030135277650624,0.014134554036341635,0.03709347712546274,-0.02669397325129419,0.44199194368446465,0.8285714285714287,-0.028571428571428574,tilt,step,2.0,0.2
1,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,93.33333333333333,66.66666666666666,66.66666666666666,-0.002570221381663629,0.0022011477203218686,0.010227568860282643,-0.016449454433937638,0.3700794638434833,0.8857142857142858,-0.08571428571428573,tilt,step,2.0,0.3
2,"(3, 4)","(2, 3)","(3, 5)",0.5,0.5,100.0,66.66666666666666,66.66666666666666,0.008421233129405348,0.009355554133733297,0.027609956420707737,-0.041336571636543695,0.41751846381870883,0.8285714285714287,-0.08571428571428573,tilt,step,2.0,0.3
3,"(3, 4)","(2, 3)","(3, 4)",0.5,1.0,100.0,66.66666666666666,100.0,0.07210303940226148,0.022957149808409977,0.07210303940226148,-0.06124193735666594,0.4549044448569676,0.8285714285714287,0.7142857142857143,tilt,step,2.0,0.3
1,"(4, 5)","(2, 3)","(3, 5)",0.0,0.5,93.33333333333333,66.66666666666666,66.66666666666666,-0.01152091629527563,0.0007430569229913489,0.012028030404940271,-0.01588387112041767,0.2834149038263634,0.6571428571428573,-0.14285714285714288,tilt,step,2.0,0.4
2,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333333,66.66666666666666,100.0,0.018862492510469675,0.007215213780028193,0.041191984232831214,-0.029318156622133107,0.32985560632197175,0.6,0.6,tilt,step,2.0,0.4
3,"(4, 5)","(2, 3)","(3, 4)",0.0,0.5,93.33333333333333,86.66666666666667,100.0,0.11849892367713943,0.037072429466405085,0.13843635492889916,-0.03660449763192086,0.3818966718954588,0.8285714285714287,0.7142857142857143,tilt,step,2.0,0.4
